,poi,pname_en,pname_th,lat,lon,pcat_1,pcat_2,pcat_3
72,cbi-074,Sea Turtle Conservation Center Sattahip Naval Base,ศูนย์อนุรักษ์พันธุ์เต่าทะเล ฐานทัพเรือสัตหีบ,12.635824,100.926907,นันทนาการ,ทะเล,-
73,cbi-075,Institute of Marine Science Burapha University,สถาบันวิทยาศาสตร์ทางทะเล มหาวิทยาลัยบูรพา,13.286,100.9246,นันทนาการ,ทะเล,-
74,cbi-076,Elephant Park (Krathing Lai),สวนช้าง (กระทิงลาย),12.985019,100.965366,นันทนาการ,-,-
75,cbi-077,Nong Nooch Tropical Botanical Garden,สวนนงนุช,12.760592,100.933075,นันทนาการ,-,-
76,cbi-078,Panarak Forest Park,สวนป่าพนารักษ์,12.937248,100.927985,นันทนาการ,ธรรมชาติ,-
77,cbi-079,Big Bee Garden,สวนผึ้งบิ๊กบี,12.995165,100.937868,นันทนาการ,ฟาร์ม,-
78,cbi-080,Nong Ta Yu Arboretum,สวนรุกขชาติหนองตาอยู่,13.088699,100.922698,นันทนาการ,ธรรมชาติ,-
79,cbi-081,Khao Kheow Open Zoo,สวนสัตว์เปิดเขาเขียว,13.214983,101.056602,นันทนาการ,ธรรมชาติ,-
80,cbi-082,Rama IX Commemoration Public Park,สวนสาธารณะเฉลิมพระเกียรติ ร.9,13.337172,100.956582,นันทนาการ,-,-
81,cbi-083,Sriracha Tiger Zoo,สวนเสือศรีราชา,13.1485,101.0104,นันทนาการ,-,-
82,cbi-084,Pattaya Elephant Village,หมู่บ้านช้างพัทยา,12.9128,100.9392,นันทนาการ,-,-
83,cbi-085,Bali Hai Cape,แหลมบาลีฮาย,12.925097,100.86726,ธรรมชาติ,ทะเล,-
84,cbi-086,Under Water World Pattaya,อันเดอร์ วอเตอร์ เวิล์ด พัทยา,12.897195,100.897146,นันทนาการ,ทะเล,-
85,cbi-087,Alcazar Show,อัลคาซาร์โชว์,12.942656,100.888783,นันทนาการ,-,-
86,cbi-088,Bang Phra Reservoir,อ่างเก็บน้ำบางพระ (เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำบางพระ),13.211316,100.979316,ธรรมชาติ,อ่างเก็บน้ำ,-
87,cbi-089,Map Prachan Reservoir,อ่างเก็บน้ำมาบประชัน,12.941118,100.960153,ธรรมชาติ,อ่างเก็บน้ำ,-
88,cbi-090,Easy Kart Pattaya,อีซี่คาร์ท พัทยา,12.944135,100.92961,นันทนาการ,-,-
89,cbi-091,Million Years Stone Park and Pattaya Crocodile Farm,อุทยานหินล้านปีและฟาร์มจระเข้พัทยา,12.957211,100.941247,นันทนาการ,-,-
90,cbi-092,Ban Cha Ngao Chinese Community,ชุมชนจีนบ้านชากแง้ว,12.833164,100.9643,วัฒนธรรม,-,-
91,cbi-093,Ang Sila Old Market 133 years old,ตลาดเก่าอ่างศิลา 133 ปี,13.340518,100.92742,วัฒนธรรม,ตลาด,-
