name,location,lat,lng
SisGarden,"{""lat"":13.4442831,""lng"":101.1780058}",13.4442831,101.1780058
ร้านมุมโปรด,"{""lat"":13.4527913,""lng"":101.1833495}",13.4527913,101.1833495
ข้าวมันไก่พนัส ตลาดเก่า,"{""lat"":13.4525653,""lng"":101.1809375}",13.4525653,101.1809375
LittleYum พนัสนิคม,"{""lat"":13.4474974,""lng"":101.1865604}",13.4474974,101.1865604
Khok Service,"{""lat"":13.4476486,""lng"":101.1814282}",13.4476486,101.1814282
Nay coffee,"{""lat"":13.4450934,""lng"":101.186261}",13.4450934,101.186261
ชาบูอินดี้ พนัสนิคม,"{""lat"":13.4555026,""lng"":101.1747953}",13.4555026,101.1747953
ร้านลูกบอมส์,"{""lat"":13.4524342,""lng"":101.1796078}",13.4524342,101.1796078
ทนายเย็นตาโฟ,"{""lat"":13.4528177,""lng"":101.1839633}",13.4528177,101.1839633
Milk@Coffee Cafe' พนัสนิคม,"{""lat"":13.452786,""lng"":101.1813499}",13.452786,101.1813499
ร้านต้นเดือน@Phanat,"{""lat"":13.4500181,""lng"":101.1845608}",13.4500181,101.1845608
ร้านวิไล โภชนา,"{""lat"":13.4399424,""lng"":101.1796565}",13.4399424,101.1796565
ต้นตำนานอีสานพนัสนิคม,"{""lat"":13.450272,""lng"":101.175649}",13.450272,101.175649
แวะโซ้ย,"{""lat"":13.4407264,""lng"":101.1856491}",13.4407264,101.1856491
Pan & David Restaurant,"{""lat"":13.1543061,""lng"":100.8133859}",13.1543061,100.8133859
"Baan Noey,RIM TANG SEAFOOD RESTAURANT","{""lat"":13.1558485,""lng"":100.8119188}",13.1558485,100.8119188
Pad Thai Lady,"{""lat"":13.1594991,""lng"":100.8096165}",13.1594991,100.8096165
เฉลียงลม,"{""lat"":13.1620756,""lng"":100.8088296}",13.1620756,100.8088296
ร้านอาหารชมตะวัน #ท่าวัง,"{""lat"":13.1530768,""lng"":100.8139737}",13.1530768,100.8139737
ระเบียงทะเล สีชัง,"{""lat"":13.1621401,""lng"":100.8086491}",13.1621401,100.8086491
สวนอาหารปะการัง,"{""lat"":13.1603714,""lng"":100.8052733}",13.1603714,100.8052733
Champ Restaurant,"{""lat"":13.1621489,""lng"":100.8044497}",13.1621489,100.8044497
Rim-Tam Seafood Restaurant,"{""lat"":13.1455613,""lng"":100.8071599}",13.1455613,100.8071599
@Sichang Fresh Ciffee,"{""lat"":13.1585589,""lng"":100.8074315}",13.1585589,100.8074315
