,poi,pname_en,pname_th,lat,lng,travel_time,pp_last_night,pp_morning,pp_afternoon,pp_evening,pp_night,pp_all,pop_dayofweek,pop_month
58,cbi-060,Baan Sukhawadee,บ้านสุขาวดี,12.982,100.917,94.68,0.0,2.0,5.0,7.0,1.0,16.0,5,9
59,cbi-061,Pattaya Shooting Park,พัทยาชู้ทติ้ง พาร์ค,12.863,100.916,146.18,0.0,0.0,1.0,0.0,0.0,1.0,1,2
60,cbi-062,Pattaya Dolphin World & Resort,พัทยาดอลฟินเวิลด์แอนด์รีสอร์ท,12.834,100.942,98.51,0.0,1.0,2.0,0.0,0.0,3.0,5,10
61,cbi-063,Teddy Bear Museum,พิพิธภัณฑ์ตุ๊กตาหมี,12.946,100.885,108.16,0.0,1.0,1.0,1.0,0.0,3.0,5,1
62,cbi-064,Ripley's Museum,พิพิธภัณฑ์ริบลีส์,12.928,100.878,105.29,0.0,1.0,1.0,1.0,0.0,3.0,3,1
63,cbi-065,Glass Art Museum,พิพิธภัณฑ์ศิลปะในขวดแก้ว,12.956,100.907,94.21,0.0,0.0,0.0,0.0,0.0,1.0,3,1
64,cbi-066,Paintball Park,เพ้นท์บอลปาร์ค,12.906,100.883,153.17,0.0,0.0,0.0,1.0,0.0,1.0,3,1
65,cbi-067,Percula Farm,เพอคูล่าฟาร์ม,12.602,100.953,183.5,0.0,0.0,1.0,0.0,0.0,1.0,2,11
66,cbi-068,Mimosa Pattaya,มิโมซ่า พัทยา,12.84,100.912,90.02,0.0,0.0,0.0,1.0,0.0,2.0,6,9
67,cbi-069,Pilom Thai Submarine,เรือดำน้ำวิมานใต้ทะเล,12.923,100.885,138.75,0.0,0.0,0.0,0.0,0.0,1.0,1,10
68,cbi-070,Thai Alangkarn Theatre,โรงละครไทยอลังการ,12.851,100.914,170.91,0.0,0.0,0.0,0.0,0.0,1.0,2,1
69,cbi-071,Tuxedo  Magic Theatre Pattaya,โรงละครมายากล ทักซิโด้ พัทยา,12.947,100.889,114.56,0.0,2.0,2.0,3.0,1.0,8.0,3,1
70,cbi-072,Silver Lake Vineyard,ไร่องุ่นซิลเวอร์เลค,12.758,100.963,72.54,0.0,3.0,3.0,2.0,0.0,8.0,6,9
71,cbi-073,Wonder Farm,วันเดอร์ฟาร์ม,12.78,100.956,81.85,0.0,0.0,0.0,0.0,0.0,1.0,6,12
72,cbi-074,Sea Turtle Conservation Center Sattahip Naval Base,ศูนย์อนุรักษ์พันธุ์เต่าทะเล ฐานทัพเรือสัตหีบ,12.635,100.925,80.58,0.0,1.0,0.0,0.0,0.0,1.0,3,12
73,cbi-075,Institute of Marine Science Burapha University,สถาบันวิทยาศาสตร์ทางทะเล มหาวิทยาลัยบูรพา,13.285,100.924,90.49,0.0,2.0,1.0,0.0,0.0,3.0,4,2
74,cbi-076,Elephant Park (Krathing Lai),สวนช้าง (กระทิงลาย),12.986,100.956,56.73,0.0,2.0,3.0,1.0,0.0,6.0,2,10
75,cbi-077,Nong Nooch Tropical Botanical Garden,สวนนงนุช,12.766,100.932,105.11,0.0,4.0,5.0,2.0,0.0,12.0,5,12
76,cbi-078,Panarak Forest Park,สวนป่าพนารักษ์,12.927,100.948,122.62,0.0,1.0,0.0,0.0,0.0,1.0,1,8
77,cbi-079,Big Bee Garden,สวนผึ้งบิ๊กบี,12.974,100.967,115.06,1.0,5.0,3.0,2.0,1.0,12.0,5,1
78,cbi-080,Nong Ta Yu Arboretum,สวนรุกขชาติหนองตาอยู่,13.155,100.995,96.72,0.0,0.0,0.0,0.0,0.0,1.0,2,1
79,cbi-081,Khao Kheow Open Zoo,สวนสัตว์เปิดเขาเขียว,13.205,101.055,117.72,0.0,14.0,8.0,1.0,0.0,22.0,3,1
80,cbi-082,Rama IX Commemoration Public Park,สวนสาธารณะเฉลิมพระเกียรติ ร.9,13.337,100.956,138.88,0.0,1.0,0.0,0.0,0.0,2.0,5,9
81,cbi-083,Sriracha Tiger Zoo,สวนเสือศรีราชา,13.149,101.012,139.69,0.0,20.0,15.0,2.0,0.0,37.0,3,9
82,cbi-084,Pattaya Elephant Village,หมู่บ้านช้างพัทยา,12.881,100.928,145.15,0.0,0.0,0.0,0.0,0.0,1.0,1,9
83,cbi-085,Bali Hai Cape,แหลมบาลีฮาย,12.927,100.867,98.38,0.0,1.0,1.0,3.0,1.0,5.0,5,1
84,cbi-086,Under Water World Pattaya,อันเดอร์ วอเตอร์ เวิล์ด พัทยา,12.896,100.895,74.44,0.0,2.0,2.0,1.0,0.0,5.0,5,1
85,cbi-087,Alcazar Show,อัลคาซาร์โชว์,12.943,100.889,132.33,0.0,2.0,2.0,8.0,3.0,15.0,2,1
86,cbi-088,Bang Phra Reservoir,อ่างเก็บน้ำบางพระ (เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำบางพระ),13.23,100.996,168.33,0.0,1.0,0.0,0.0,0.0,1.0,3,10
87,cbi-089,Map Prachan Reservoir,อ่างเก็บน้ำมาบประชัน,12.934,100.964,124.7,0.0,8.0,4.0,1.0,0.0,13.0,4,12
88,cbi-090,Easy Kart Pattaya,อีซี่คาร์ท พัทยา,12.923,100.868,117.51,0.0,1.0,1.0,7.0,2.0,12.0,4,1
89,cbi-091,Million Years Stone Park and Pattaya Crocodile Farm,อุทยานหินล้านปีและฟาร์มจระเข้พัทยา,12.957,100.941,89.41,0.0,8.0,8.0,1.0,0.0,17.0,6,1
90,cbi-092,Ban Cha Ngao Chinese Community,ชุมชนจีนบ้านชากแง้ว,12.833,100.965,81.55,0.0,0.0,0.0,1.0,0.0,2.0,0,9
91,cbi-093,Ang Sila Old Market 133 years old,ตลาดเก่าอ่างศิลา 133 ปี,13.341,100.927,76.86,0.0,0.0,0.0,0.0,0.0,1.0,0,1
92,cbi-094,Nong Mon Market,ตลาดหนองมน,13.281,100.936,52.75,1.0,0.0,0.0,0.0,0.0,2.0,0,7
93,cbi-095,Thai House Museum,พิพิธภัณฑ์เรือนไทย,13.437,101.052,119.82,0.0,0.0,0.0,0.0,0.0,1.0,5,11
94,cbi-096,Mini Town,เมืองจำลอง,12.954,100.91,125.97,1.0,3.0,3.0,4.0,2.0,13.0,2,1
95,cbi-097,Wat Thamnimit,วัดธรรมนิมิตต์,13.376,101.001,131.18,0.0,0.0,0.0,0.0,0.0,1.0,0,12
96,cbi-098,Wat Sanga See,วัดสังกะสี,13.402,101.044,115.3,0.0,0.0,0.0,0.0,0.0,1.0,6,3
97,cbi-099,Vihara Xian (Anekkuson Sala),วิหารเซียน (เอนกกุศลศาลา),12.787,100.955,75.79,0.0,1.0,1.0,0.0,0.0,2.0,2,2
98,cbi-100,Chao Por Khao Yai Shrine,ศาลเจ้าพ่อเขาใหญ่,13.168,100.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
99,cbi-101,Phanus Nikhom Exhibition Center,ศูนย์จักสานพนัสนิคม,13.455,101.179,98.83,0.0,1.0,0.0,0.0,0.0,1.0,3,1
100,cbi-102,4D Replica Ceremonial Ship Show Center,ศูนย์แสดงเรือพระราชพิธีจำลอง 4 มิติ,12.934,100.904,135.95,0.0,0.0,0.0,0.0,0.0,1.0,4,12
101,cbi-103,Chollamarkwithi Bridge 84 Years,สะพานชลมารควิถี 84 พรรษา จ.ชลบุรี,13.376,100.978,89.74,0.0,0.0,0.0,0.0,0.0,1.0,3,2
102,cbi-104,Karen Village,หมู่บ้านกะเหรี่ยง คอยาว จำลอง,12.877,100.91,59.66,0.0,2.0,13.0,8.0,0.0,22.0,6,1
103,cbi-105,Chong Samae San Village,หมู่บ้านช่องแสมสาร,12.603,100.961,93.86,0.0,1.0,0.0,0.0,0.0,1.0,2,1
104,cbi-106,Eastern Art and Culture Hall Burapha University,หอศิลปะและวัฒนธรรมภาคตะวันออก มหาวิทยาลัยบูรพา,13.285,100.925,94.48,0.0,1.0,0.0,0.0,0.0,1.0,2,2
105,cbi-107,Three Kingdoms Park,อุทยานสามก๊ก,12.904,100.976,53.33,0.0,0.0,1.0,0.0,0.0,1.0,1,1
106,cbi-108,Red Building Chaloem Phra Kiat Museum,ตึกแดงพิพิธภัณฑ์เฉลิมพระเกียรติ,13.34,100.926,72.7,0.0,0.0,0.0,0.0,0.0,1.0,0,2
107,cbi-109,Thai Island and Sea Natural History Museum (Khao Ma Jo),พิพิธภัณฑ์ธรรมชาติวิทยาเกาะและทะเลไทย (เขาหมาจอ),12.602,100.95,154.8,0.0,1.0,1.0,0.0,0.0,1.0,0,2
108,cbi-110,Marine Corps Museum,พิพิธภัณฑ์นาวิกโยธิน,12.663,100.862,99.2,0.0,1.0,1.0,0.0,0.0,1.0,0,6
109,cbi-111,Royal Battleship Jakgreenrubet,เรือหลวงจักรีนฤเบศร,12.626,100.913,91.5,0.0,0.0,1.0,0.0,0.0,2.0,5,11
110,cbi-112,Astroscience Center,ศูนย์วิทยาศาสตร์ ดาราศาสตร์,13.338,100.955,262.0,0.0,0.0,0.0,1.0,0.0,1.0,5,12
